Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Bušovce	Prešovský kraj	592	49.218889°S 20.483889°V	9,03	309	34,22	059 93	523411	KK	+421-52	
Buzica	Košický kraj	214	48.532778°S 21.076944°V	19,86	1 202	60,52	044 73	521264	KS	+421-55	
Buzitka	Banskobystrický kraj	205	48.307778°S 19.801111°V	13,81	520	37,65	985 41 	511293	LC	+421-47	
Bystrá	Banskobystrický kraj	566	48.841944°S 19.601944°V	15,87	193	12,16	977 01 	557251	BR	+421-48	
Bystrá	Prešovský kraj	379	49.243056°S 21.820556°V	3,01	31	10,3	090 23 	527190	SP	+421-54	
Bystrany	Košický kraj	408	48.950278°S 20.756667°V	7,82	3 267	417,77	053 62 	526436	SN	+421-53	
Bystré	Prešovský kraj	180	49.009167°S 21.542222°V	13,2	2 668	202,12	094 34 (Bystré nad Topľou)	544094	VT	+421-57	
Bystričany	Trenčiansky kraj	239	48.658056°S 18.515833°V	37,61	1 829	48,63	972 45	513911	PD	+421-46	
Bystrička	Žilinský kraj	449	49.049444°S 18.878333°V	19,12	1 424	74,48	038 04	512133	MT	+421-43	
Byšta	Košický kraj	279	48.531111°S 21.541111°V	11,52	153	13,28	076 13 	528226	TV	+421-56	
Bytča	Žilinský kraj	337	49.222500°S 18.558333°V	43,17	11 293	261,59	014 01	517461	BY	+421-41	
Bzenica	Banskobystrický kraj	245	48.527778°S 18.744722°V	19,04	566	29,73	966 01 	516708	ZH	+421-45	
Bzenov	Prešovský kraj	304	48.947778°S 21.165833°V	3,21	769	239,56	082 42	524263	PO	+421-51	
Bzince pod Javorinou	Trenčiansky kraj	292	48.788056°S 17.771389°V	33,53	2 081	62,06	916 11	505897	NM	+421-32	
Bziny	Žilinský kraj	492	49.227222°S 19.322778°V	5,84	551	94,35	026 01 	580813	DK	+421-43	
Bzovík	Banskobystrický kraj	339	48.320278°S 19.090000°V	12,99	1 145	88,14	962 41	518212	KA	+421-45	
Bzovská Lehôtka	Banskobystrický kraj	422	48.413333°S 19.134444°V	6,09	133	21,84	962 62 	518221	ZV	+421-45	
Bžany	Prešovský kraj	172	49.091944°S 21.637778°V	17,06	164	9,61	090 33 	527203	SP	+421-54	
Cabaj-Čápor	Nitriansky kraj	Čápor 167  Cabaj 165	48.2434°S 18.0172°V	34,42	4 032	117,14	951 17 	545589	NR	+421-37	
Cabov	Prešovský kraj	248	48.805556°S 21.633889°V	15,69	398	25,37	094 14 	544108	VT	+421-57	
Cakov	Banskobystrický kraj	170	48.3400°S 20.2256°V	4,29	303	70,63	980 42 	514594	RS	+421-47	
Cejkov	Košický kraj	150	48.4680°S 21.7623°V	20,84	1 160	55,66	076 05	528234	TV	+421-56	
Cernina	Prešovský kraj	326	49.2971°S 21.4740°V	13,1	588	44,89	090 16	527211	SK	+421-54	
Cerová	Trnavský kraj	303	48.586667°S 17.380556°V	21,88	1 204	55,03	906 33	504297	SE	+421-34	
Cerovo	Banskobystrický kraj	468	48.2547°S 19.1572°V	30,28	590	19,48	962 52	518239	KA	+421-45	
Cestice	Košický kraj	211	48.592778°S 21.101667°V	13,03	824	63,24	044 71 	521272	KS	+421-55	
Cífer	Trnavský kraj	139	48.316667°S 17.500000°V	29,88	4 105	137,38	919 43	506877	TT	+421-33	
Cigeľ	Trenčiansky kraj	465	48.711944°S 18.645278°V	17,35	1 233	71,07	971 01 	513920	PD	+421-46	
Cigeľka	Prešovský kraj	526	49.407778°S 21.147778°V	15,98	546	34,17	086 02 	519111	BJ	+421-45	
Cigla	Prešovský kraj	377	49.3589°S 21.3967°V	4,87	99	20,33	086 37 	527220	SK	+421-54	
Cimenná	Trenčiansky kraj	271	48.727778°S 18.141667°V	3,6	93	25,83	956 37 	542776	BN	+421-38	
Cinobaňa	Banskobystrický kraj	288	48.4471°S 19.6485°V	39,23	2 332	59,44	985 22	511315	PT	+421-47	
Čab	Nitriansky kraj	Nadmorská výška v strede obce je 150 m n, m,  v chotári 144 – 190	48.4051°S 17.9816°V	8,15	787	96,56	951 24 	582387	NR	+421-37	
Čabalovce	Prešovský kraj	383	49.229722°S 21.964722°V	21,4	363	16,96	067 16 	520098	ML	+421-57	
Čabiny	Prešovský kraj	250	49.1823°S 21.9008°V	38,84	374	9,63	067 02	520101	ML	+421-57	
Čabradský Vrbovok	Banskobystrický kraj	305	48.256944°S 19.077222°V	23,32	263	11,28	962 51	518247	KA	+421-45	
Čadca	Žilinský kraj	420	49.435833°S 18.792222°V	56,79	24 739	435,62	022 01	509132	CA	+421-41	
Čachtice	Trenčiansky kraj	203	48.7122°S 17.7871°V	32,57	4 012	123,18	916 21	505901	NM	+421-32	
Čajkov	Nitriansky kraj	190	48.2906°S 18.5990°V	23,94	1 000	41,77	935 24	502111	LV	+421-36	
Čaka	Nitriansky kraj	179	48.039722°S 18.468889°V	9,07	762	84,01	935 68	502120	LV	+421-36	
Čakajovce	Nitriansky kraj	148	48.3697°S 18.0379°V	5,78	1 127	194,98	951 43 	500101	NR	+421-37	
Čakanovce	Banskobystrický kraj	243	48.213333°S 19.812778°V	12,43	1 124	90,43	985 58 	511323	LC	+421-47	
Čakanovce	Košický kraj	279	48.7680°S 21.4472°V	9,62	647	67,26	044 45 	521281	KS	+421-55	
Čakany	Trnavský kraj	125	48.116667°S 17.361111°V	11,19	582	52,01	930 40 	501514	DS	+421-31	
Čaklov	Prešovský kraj	134	48.9093°S 21.6268°V	12,76	2 530	198,28	094 35 	544116	VT	+421-57	
Čalovec	Nitriansky kraj	108	47.8186°S 17.9836°V	23,21	1 170	50,41	946 02	501085	KN	+421-35	
Čamovce	Banskobystrický kraj	207	48.2495°S 19.8867°V	12,61	603	47,82	986 01 	511331	LC	+421-47	
Čaňa	Košický kraj	177	48.612500°S 21.324444°V	11,56	5 642	488,06	044 14	521299	KS	+421-55	
Čaradice	Nitriansky kraj	245	48.366667°S 18.516667°V	17,85	514	28,8	953 01 	500127	ZM	+421-37	
Čáry	Trnavský kraj	167	48.650000°S 17.100000°V	14,94	1 273	85,21	908 43	504319	SE	+421-34	
Častá	Bratislavský kraj	292	48.383333°S 17.366667°V	35,23	2 215	62,87	900 89	507857	PK	+421-33	
Častkov	Trnavský kraj	382	48.750000°S 17.350000°V	13,18	624	47,34	906 04 	504327	SE	+421-34	
Častkovce	Trenčiansky kraj	177	48.6892°S 17.7806°V	7,57	1 199	158,39	916 27	505919	NM	+421-32	
Čata	Nitriansky kraj	132	47.9512°S 18.6485°V	14,77	1 034	70,01	935 63	555843	LV	+421-36	
Čataj	Bratislavský kraj	140	48.266667°S 17.483333°V	12,87	1 139	88,5	900 83	507865	SC	+421-33	
Čavoj	Trenčiansky kraj	580	48.8827°S 18.4866°V	15,25	520	34,1	972 29	513938	PD	+421-46	
Čebovce	Banskobystrický kraj	215	48.179722°S 19.228889°V	16,21	1 070	66,01	991 25	515906	VK	+421-47	
Čečehov	Košický kraj	106m	48.721578°S 21.993017°V	7,62	375	49,21	072 11	522392	MI	+421-56	
Čečejovce	Košický kraj	205	48.600000°S 21.066667°V	24,53	2 088	85,12	044 71	521302	KS	+421-55	
Čechy	Nitriansky kraj	162	48.0345°S 18.3723°V	11,85	315	26,58	941 32 	503118	NZ	+421-35	
Čechynce	Nitriansky kraj	133	48.2563°S 18.1602°V	5,86	1 079	184,13	951 07	555886	NR	+421-37	
Čekovce	Banskobystrický kraj	396	48.3507°S 19.1217°V	15,02	445	29,63	962 41 	518255	KA	+421-45	
Čeláre	Banskobystrický kraj	v strede obce je 160  v chotári 147–281	48.142867°S 19.490283°V	12,52	492	39,3	991 22 	515914	VK	+421-47	
Čelkova Lehota	Trenčiansky kraj	455	49.016944°S 18.524167°V	3,71	138	37,2	018 16 	557561	PB	+421-42	
Čelovce	Banskobystrický kraj	346	48.1835°S 19.1436°V	36,82	440	11,95	991 41	515922	VK	+421-47	
Čelovce	Prešovský kraj	373	49.0789°S 21.4032°V	3,99	322	80,7	082 14 	524271	PO	+421-51	
Čeľadice	Nitriansky kraj	180	48.3252°S 18.2417°V	10,47	933	89,11	951 03	500135	NR	+421-37	
Čeľadince	Nitriansky kraj	170	48.5126°S 18.1708°V	3,25	430	132,31	956 16 	556297	TO	+421-38	
Čeľovce	Košický kraj	142	48.6029°S 21.6274°V	13,27	552	41,6	076 17 	528242	TV	+421-56	
Čenkovce	Trnavský kraj	123	48.100000°S 17.433333°V	11,57	1 084	93,69	930 39 	580554	DS	+421-31	
Čerenčany	Banskobystrický kraj	215	48.4080°S 19.9869°V	5,06	548	108,3	979 01 	514608	RS	+421-47	
Čereňany	Trenčiansky kraj	220	48.6417°S 18.4849°V	18,99	1 693	89,15	972 46	513946	PD	+421-46	
Čerhov	Košický kraj	129	48.4616°S 21.6406°V	8,53	775	90,86	076 81	528251	TV	+421-56	
Čerín	Banskobystrický kraj	405	48.660833°S 19.246944°V	11,53	453	39,29	974 01 	508519	BB	+421-48	
Čermany	Nitriansky kraj	179	48.4684°S 18.0358°V	10,84	375	34,59	956 08 	542792	TO	+421-38	
Černík	Nitriansky kraj	129	48.155208°S 18.223058°V	13,39	998	74,53	941 05	503126	NZ	035 (+42135)	
Černina	Prešovský kraj	253	49.0523°S 21.8230°V	7,4	179	24,19	067 23 	520110	HE	+421-57	
Černochov	Košický kraj	167	48.4394°S 21.7334°V	6,16	203	32,95	076 32 	528269	TV	+421-56	
Čertižné	Prešovský kraj	438	49.3511°S 21.8272°V	23,73	353	14,88	067 52 	520128	ML	+421-57	
Červená Voda	Prešovský kraj	520	49.1461°S 21.0876°V	5,45	484	88,81	083 01 	524280	SB	+421-51	
Červenica	Prešovský kraj	578	48.8870°S 21.4506°V	17,8	905	50,84	082 07 	524301	PO	+421-51	
Červenica pri Sabinove	Prešovský kraj	356	49.1352°S 21.0257°V	6,3	845	134,13	082 56 	524298	SB	+421-51	
Červeník	Trnavský kraj	147	48.461389°S 17.756389°V	9,94	1 635	164,49	920 42	506885	HC	+421-33	
Červený Hrádok	Nitriansky kraj	170	48.300000°S 18.383333°V	5,5	405	73,64	951 82 	555916	ZM	+421-37	
Červený Kameň	Trenčiansky kraj	361	49.086262°S 18.185914°V	32,59	699	21,45	018 56	512931	IL	+421-42	
Červený Kláštor	Prešovský kraj	462	49.3918°S 20.4053°V	3,04	228	75	059 06	523429	KK	+421-52	
Červeňany	Banskobystrický kraj	339	48.3783°S 19.3890°V	6,75	42	6,22	991 01 	515931	VK	+421-47	
České Brezovo	Banskobystrický kraj	451	48.4824°S 19.8051°V	38,57	508	13,17	985 03	511340	PT	+421-47	
Čičarovce	Košický kraj	106 m	48.5398°S 22.0180°V	26,63	897	33,68	076 71	528277	MI	+421-56	
Čičava	Prešovský kraj	155	48.9237°S 21.6654°V	5,29	1 219	230,43	093 01 	544124	VT	+421-57	
Čičmany	Žilinský kraj	655	48.955903°S 18.516728°V	25,61	160	6,25	013 15 	517470	ZA	+421-43	
Číčov	Nitriansky kraj	110	47.7715°S 17.7663°V	29,36	1 280	43,6	946 19	501093	KN	+421-35	
Čierna	Košický kraj	100	48.430000°S 22.109444°V	4,24	463	109,2	076 43 	528285	TV	+421-56	
Čierna Lehota	Trenčiansky kraj	390	48.866389°S 18.333333°V	15,21	121	7,96	956 53 	542806	BN	+421-38	
Čierna Lehota	Košický kraj	525	48.7228°S 20.2516°V	31,86	662	20,78	049 36 	525596	RV	+421-58	
Čierna nad Tisou	Košický kraj	102	48.416667°S 22.096389°V	9,37	3 772	402,56	076 43	528293	TV	+421-56	
Čierna Voda	Trnavský kraj	117	48.128611°S 17.654167°V	12,14	1 390	114,5	925 06	503690	GA	+421-31	
Čierne	Žilinský kraj	454	49.492222°S 18.822500°V	20,84	4 399	211,08	023 13	509159	CA	+421-41	
Čierne Kľačany	Nitriansky kraj	195	48.3520°S 18.4208°V	10,98	1 090	99,27	953 05 	500151	ZM	+421-37	
Čierne nad Topľou	Prešovský kraj	147 - 250	48.9939°S 21.5676°V	8,34	749	89,81	094 34 	544132	VT	+421-57	
Čierne Pole	Košický kraj	108	48.5788°S 22.0784°V	5,17	287	55,51	079 01 	528307	MI	+421-56	
Čierny Balog	Banskobystrický kraj	555	48.747222°S 19.656111°V	147,1	5 206	35,39	976 52	508527	BR	+421-48	
Čierny Brod	Trnavský kraj	118	48.150000°S 17.659444°V	17,7	1 589	89,77	925 08	503703	GA	+421-31	
Čierny Potok	Banskobystrický kraj	215	48.2943°S 19.9394°V	5,91	154	26,06	980 31 	514616	RS	+421-47	
Čifáre	Nitriansky kraj	170	48.2319°S 18.3917°V	15,34	615	40,09	951 61	500160	NR	+421-37	
Čiližská Radvaň	Trnavský kraj	110	47.833056°S 17.689722°V	21,41	1 194	55,77	930 08	501531	DS	+421-31	
Čimhová	Žilinský kraj	644	49.3624°S 19.6910°V	6,39	676	105,79	027 12 	518719	TS	+421-43	
Čirč	Prešovský kraj	510	49.278333°S 20.925556°V	20,19	1 251	61,96	065 42	526673	SL	+421-52	
Číž	Banskobystrický kraj	170	48.3130°S 20.2795°V	6,14	664	108,14	980 43	514624	RS	+421-47	
Čižatice	Košický kraj	280	48.7968°S 21.3928°V	7,67	380	49,54	044 47 	521311	KS	+421-55	
Čoltovo	Košický kraj	199	48.4948°S 20.3740°V	15,37	481	31,29	049 12 	525600	RV	+421-58	
Čremošné	Žilinský kraj	649	48.847778°S 18.903333°V	16,17	89	5,5	039 01 	512141	TR	+421-43	
Čučma	Košický kraj	447	48.691300°S 20.539000°V	11,7	663	56,67	048 01 	560031	RV	+421-58	
Čukalovce	Prešovský kraj	380	49.102778°S 22.170000°V	9,03	166	18,38	067 35 	520136	SV	+421-57	
Dačov Lom	Banskobystrický kraj	605	48.316667°S 19.266667°V	24,53	429	17,49	991 35	515949	VK	+421-47	
Daletice	Prešovský kraj	670	49.0402°S 21.0623°V	2,49	97	38,96	082 63 	524328	SB	+421-51	
Danišovce	Košický kraj	470	48.9487°S 20.6190°V	4,3	544	126,51	053 22 	526444	SN	+421-53	
Dargov	Košický kraj	252	48.7314°S 21.5848°V	21,88	602	27,51	076 61 	528315	TV	+421-56	
Davidov	Prešovský kraj	197	48.826111°S 21.632222°V	16,79	802	47,77	093 03 	544159	VT	+421-57	
Debraď	Košický kraj	270	48.6536°S 20.9758°V	23,79	378	15,89	045 01 	521329	KS	+421-55	
Dedačov	Prešovský kraj	209	49.0337°S 21.9745°V	5,75	169	29,39	067 12 	520152	HE	+421-57	
Dedina Mládeže	Nitriansky kraj	110	47.9498°S 18.0058°V	12,78	455	35,6	946 03 	501107	KN	+421-35	
Dedinka	Nitriansky kraj	170	48.0647°S 18.4218°V	18,52	744	40,17	941 50	503134	NZ	+421-35	
Dedinky	Košický kraj	795	48.866667°S 20.383333°V	3,64	278	76,37	049 73	525618	RV	+421-58	
Dechtice	Trnavský kraj	186	48.545833°S 17.595000°V	19,46	1 879	96,56	919 53	506893	TT	+421-33	
Dekýš	Banskobystrický kraj	485	48.3968°S 18.8155°V	17,82	204	11,45	969 01 	516716	BS	+421-45	
Demandice	Nitriansky kraj	140	48.1265°S 18.7816°V	21,92	1 022	46,62	935 85	502154	LV	+421-36	
Demänovská Dolina	Žilinský kraj	1 118	48.9716°S 19.5807°V	47,85	277	5,79	031 01 	510386	LM	+421-44	
Demjata	Prešovský kraj	336	49.106467°S 21.314506°V	11,5	1 076	93,57	082 13 	524336	PO	+421-51	
Detrík	Prešovský kraj	345	49.0433°S 21.6216°V	9,53	54	5,67	094 31 	544167	VT	+421-57	
Detva	Banskobystrický kraj	400	48.551389°S 19.418333°V	68,09	15 024	220,65	962 12	518263	DT	+421-45	
Detvianska Huta	Banskobystrický kraj	820	48.5665°S 19.5915°V	14,31	704	49,2	962 05 	518271	DT	+421-45	
Devičany	Nitriansky kraj	296	48.3236°S 18.7074°V	29,88	394	13,19	935 04	502162	LV	+421-36	
Devičie	Banskobystrický kraj	254	48.3084°S 19.0257°V	14,07	301	21,39	962 65 	518280	KA	+421-45	
Dežerice	Trenčiansky kraj	239	48.763333°S 18.213333°V	13,04	730	55,98	957 03 	542822	BN	+421-38	
Diaková	Žilinský kraj	440 – 498 7	49.050000°S 18.950000°V	2,42	329	135,95	038 02 	512168	MT	+421-43	
Diakovce	Nitriansky kraj	115	48.134933°S 17.840422°V	26,28	2 235	85,05	925 81	503711	SA	+421-31	
Diviacka Nová Ves	Trenčiansky kraj	266	48.748056°S 18.495000°V	13,37	1 756	131,34	972 24	513954	PD	+421-46	
Diviaky nad Nitricou	Trenčiansky kraj	290	48.765000°S 18.495000°V	19,86	1 747	87,97	972 25	513962	PD	+421-46	
Divín	Banskobystrický kraj	265	48.4505°S 19.5327°V	23,93	2 058	86	985 52	511358	LC	+421-47	
Divina	Žilinský kraj	355 - 910	49.271667°S 18.695556°V	21,88	2 398	109,6	013 13	517488	ZA	+421-41	
Divinka	Žilinský kraj	327	49.250000°S 18.700000°V	5,17	1 027	198,65	013 31 	517496	ZA	+421-41	
Dlhá	Trnavský kraj	185	48.408333°S 17.425000°V	11,81	446	37,76	919 01 	556599	TT	+421-33	
Dlhá nad Kysucou	Žilinský kraj	520	49.3897°S 18.6411°V	12,26	646	52,69	023 54 	509167	CA	+421-41	
Dlhá nad Oravou	Žilinský kraj	527	49.2663°S 19.4469°V	24,31	1 385	56,97	027 55	509639	DK	+421-43	
Dlhá nad Váhom	Nitriansky kraj	115	48.172097°S 17.860164°V	9,07	858	94,6	927 05 	503720	SA	+421-37	
Dlhá Ves	Košický kraj	332	48.4940°S 20.4382°V	10,75	564	52,47	049 55	525626	RV	+421-58	
Dlhé Klčovo	Prešovský kraj	114	48.8112°S 21.7385°V	10,34	1 398	135,2	094 13 	544175	VT	+421-57	
Dlhé nad Cirochou	Prešovský kraj	183	48.960278°S 22.061944°V	26,3	2 018	76,73	067 82	520161	SV	+421-57	
Dlhé Pole	Žilinský kraj	392	49.308333°S 18.631944°V	41,03	1 939	47,26	013 32	517500	ZA	+421-41	
Dlhé Stráže	Prešovský kraj	613	49.0259°S 20.5212°V	3,37	556	164,99	054 01 	526452	LE	+421-53	
Dlhoňa	Prešovský kraj	403	49.400000°S 21.566667°V	8,85	70	7,91	090 02 	527238	SK	+421-54	
Dlžín	Trenčiansky kraj	406	48.816667°S 18.516667°V	6,65	174	26,17	972 26 	513971	PD	+421-46	
Dobrá	Košický kraj	112	48.412222°S 22.027778°V	8,32	463	55,65	076 41 	528323	TV	+421-56	
Dobrá Niva	Banskobystrický kraj	357	48.4715°S 19.1024°V	52,51	1 873	35,67	962 61	518298	ZV	+421-45	
Dobrá Voda	Trnavský kraj	248	48.600000°S 17.533333°V	32,98	806	24,44	919 54	506915	TT	+421-33	
Dobroč	Banskobystrický kraj	272	48.466667°S 19.566667°V	18,87	638	33,81	985 53 	511366	LC	+421-47	
Dobrohošť	Trnavský kraj	122	47.982222°S 17.360833°V	4,7	446	94,89	930 31 	501549	DS	+421-31	
Dobroslava	Prešovský kraj	414	49.366667°S 21.616667°V	5,58	30	5,38	090 01 	527246	SK	+421-54	
Dobšiná	Košický kraj	459	48.820556°S 20.365833°V	82,73	5 685	68,72	049 25	525634	RV	+421-58	
Dohňany	Trenčiansky kraj	289	49.146944°S 18.288056°V	28,75	1 744	60,66	020 51	512940	PU	+421-42	
Dojč	Trnavský kraj	182	48.676944°S 17.258889°V	20,37	1 253	61,51	906 02	504335	SE	+421-34	
Dolinka	Banskobystrický kraj	186	48.100000°S 19.166667°V	7,3	481	65,89	991 28 	515957	VK	+421-47	
Dolná Breznica	Trenčiansky kraj	296	49.0809°S 18.2617°V	8,36	873	104,43	020 61 	512958	PU	+421-42	
Dolná Krupá	Trnavský kraj	192	48.483333°S 17.550000°V	24,63	2 280	92,57	919 65	506923	TT	+421-33	
Dolná Lehota	Banskobystrický kraj	480	48.8349°S 19.5058°V	55,44	769	13,87	976 98 	508535	BR	+421-48	
Dolná Mariková	Trenčiansky kraj	343	49.208056°S 18.356111°V	22,14	1 422	64,23	018 02	512966	PB	+421-42	
Dolná Mičiná	Banskobystrický kraj	389	48.672778°S 19.220833°V	9,46	383	40,49	974 01 	508543	BB	+421-48	
Dolná Poruba	Trenčiansky kraj	429	48.9131°S 18.2973°V	22,69	799	35,21	914 43 	505935	TN	+421-32	
Dolná Seč	Nitriansky kraj	155	48.1759°S 18.5637°V	8,78	456	51,94	935 31	502171	LV	+421-36	
Dolná Streda	Trnavský kraj	125	48.269722°S 17.754167°V	13,47	1 469	109,06	925 63	555789	GA	+421-31	
Dolná Strehová	Banskobystrický kraj	239	48.2502°S 19.4882°V	21,13	1 043	49,36	991 02	515965	VK	+421-47	
Dolná Súča	Trenčiansky kraj	285	48.9586°S 18.0350°V	26,32	3 001	114,02	91332	505943	TN	+421-32	
Dolná Tižina	Žilinský kraj	440	49.2148°S 18.9162°V	13,12	1 306	99,54	013 04	517518	ZA	+421-41	
Dolná Trnávka	Banskobystrický kraj	240	48.561389°S 18.789722°V	2,85	347	121,75	966 21 	516724	ZH	+421-45	
Dolná Ves	Banskobystrický kraj	418	48.665833°S 18.913333°V	2,37	245	103,38	967 01 	516732	ZH	+421-45	
Dolná Ždaňa	Banskobystrický kraj	239	48.550000°S 18.766667°V	8,17	883	108,08	966 01 	516741	ZH	+421-45	
Dolné Dubové	Trnavský kraj	183	48.483333°S 17.616667°V	10,04	656	65,34	919 52	506931	TT	+421-33	
Dolné Kočkovce	Trenčiansky kraj	259	49.0944°S 18.3249°V	6,12	1 222	199,67	020 01 	557439	PU	+421-42	
Dolné Lefantovce	Nitriansky kraj	154	48.423611°S 18.122222°V	4,61	528	114,53	951 45 	582425	NR	+421-37	
Dolné Lovčice	Trnavský kraj	135	48.366667°S 17.666667°V	5,74	745	129,79	919 27 	556661	TT	+421-33	
Dolné Mladonice	Banskobystrický kraj	392	48.338056°S 19.127778°V	6,42	117	18,22	962 41 	518301	KA	+421-45	
Dolné Naštice	Trenčiansky kraj	205	48.692778°S 18.249167°V	4,64	520	112,07	957 01 	542849	BN	+421-38	
Dolné Obdokovce	Nitriansky kraj	190	48.3138°S 18.2091°V	10,19	1 210	118,74	951 02 	500194	NR	+421-37	
Dolné Orešany	Trnavský kraj	200	48.438889°S 17.428333°V	17,9	1 263	70,56	919 02	506940	TT	+421-33	
Dolné Otrokovce	Trnavský kraj	180	48.466111°S 17.913056°V	9,31	377	40,49	920 61 	506958	HC	+421-33	
Dolné Plachtince	Banskobystrický kraj	360	48.2006°S 19.3062°V	9,88	606	61,34	991 24	515973	VK	+421-47	
Dolné Saliby	Trnavský kraj	115	48.100000°S 17.783333°V	18,72	1 925	102,83	925 02	503746	GA	+421-31	
Dolné Semerovce	Nitriansky kraj	145	48.1136°S 18.8493°V	11,86	535	45,11	935 85 	502189	LV	+421-36	
Dolné Srnie	Trenčiansky kraj	222	48.798333°S 17.821389°V	8,79	969	110,24	916 41	505951	NM	+421-32	
Dolné Strháre	Banskobystrický kraj	240	48.2493°S 19.3927°V	17,71	199	11,24	991 03 	515981	VK	+421-47	
Dolné Trhovište	Trnavský kraj	180	48.440278°S 17.890278°V	10,06	652	64,81	920 61	506966	HC	+421-33	
Dolné Vestenice	Trenčiansky kraj	243	48.7040°S 18.3961°V	13,84	2 570	185,69	972 23	513989	PD	+421-46	
Dolné Zahorany	Banskobystrický kraj	252	48.3511°S 19.9008°V	6,39	189	29,58	985 42 	514632	RS	+421-47	
Dolné Zelenice	Trnavský kraj	135	48.375000°S 17.746944°V	2,72	564	207,35	920 52 	556521	HC	+421-33	
Dolný Badín	Banskobystrický kraj	305	48.2695°S 19.0669°V	6,24	258	41,35	962 51 	518310	KA	+421-45	
Dolný Bar	Trnavský kraj	114	47.965833°S 17.686389°V	8,2	610	74,39	930 14	501557	DS	+421-31	
Dolný Harmanec	Banskobystrický kraj	440	48.8086°S 19.0538°V	44,29	248	5,6	976 03 	508551	BB	+421-48	
Dolný Hričov	Žilinský kraj	316	49.231383°S 18.633850°V	12,45	1 555	124,9	013 41	517526	ZA	+421-41	
Dolný Chotár	Trnavský kraj	110	48.000278°S 17.867222°V	13,88	431	31,05	925 41 	503754	GA	+421-31	
Dolný Kalník	Žilinský kraj	433	49.0405°S 18.9625°V	1,33	147	110,53	038 02 	512206	MT	+421-43	
Dolný Kubín	Žilinský kraj	468	49.210556°S 19.297500°V	55,05	19 424	352,84	026 01	509540	DK	+421-43	
Dolný Lieskov	Trenčiansky kraj	310	49.054444°S 18.418056°V	16,47	831	50,46	018 21	546640	PB	+421-42	
Dolný Lopašov	Trnavský kraj	207	48.576944°S 17.643056°V	22,93	963	42	922 04	506982	PN	+421-33	
Dolný Ohaj	Nitriansky kraj	124	48.0832°S 18.2505°V	17,03	1 570	92,19	941 43	503151	NZ	+421-35	
Dolný Pial	Nitriansky kraj	178	48.1314°S 18.4620°V	13,99	949	67,83	935 37	502197	LV	+421-36	
Dolný Štál	Trnavský kraj	112	47.936389°S 17.716944°V	30	1 927	64,23	930 10	501611	DS	+421-31	
Dolný Vadičov	Žilinský kraj	442	49.2699°S 18.8457°V	5,95	475	79,83	023 45 	509175	KM	+421-41	
Doľany	Bratislavský kraj	251	48.415833°S 17.378889°V	22,55	1 057	46,87	900 88	507873	PK	+421-33	
Doľany	Prešovský kraj	590	49.0119°S 20.6545°V	3,67	630	171,66	053 02 	526461	LE	+421-53	
